Algorithm,Size,Order,Time
QuickSort,100,ascending,0.044256
QuickSort,100,descending,0.038849
QuickSort,100,random,0.045646
QuickSort,500,ascending,0.168633
QuickSort,500,descending,0.084168
QuickSort,500,random,0.050854
QuickSort,1000,ascending,0.054058
QuickSort,1000,descending,0.089579
QuickSort,1000,random,0.12956
QuickSort,5000,ascending,0.269319
QuickSort,5000,descending,0.366207
QuickSort,5000,random,0.499739
QuickSort,20000,ascending,0.907981
QuickSort,20000,descending,1.277037
QuickSort,20000,random,1.325054
QuickSort,50000,ascending,0.639079
QuickSort,50000,descending,1.161587
QuickSort,50000,random,3.490692
QuickSort,100000,ascending,1.365346
QuickSort,100000,descending,2.511148
QuickSort,100000,random,7.98754
QuickSort,500000,ascending,6.519692
QuickSort,500000,descending,14.407511
QuickSort,500000,random,45.848554
CountingSort,100,ascending,1.432017
CountingSort,100,descending,0.022275
CountingSort,100,random,0.033608
CountingSort,500,ascending,0.067086
CountingSort,500,descending,0.043953
CountingSort,500,random,0.044746
CountingSort,1000,ascending,0.079409
CountingSort,1000,descending,0.079401
CountingSort,1000,random,0.095432
CountingSort,5000,ascending,0.375581
CountingSort,5000,descending,0.370956
CountingSort,5000,random,0.529564
CountingSort,20000,ascending,1.400723
CountingSort,20000,descending,0.543048
CountingSort,20000,random,0.462411
CountingSort,50000,ascending,0.575285
CountingSort,50000,descending,0.568651
CountingSort,50000,random,0.595344
CountingSort,100000,ascending,1.034501
CountingSort,100000,descending,0.83953
CountingSort,100000,random,1.167102
CountingSort,500000,ascending,7.188371
CountingSort,500000,descending,1.614218
CountingSort,500000,random,4.169163
RadixSort,100,ascending,0.049258
RadixSort,100,descending,0.02347
RadixSort,100,random,0.021865
RadixSort,500,ascending,0.081249
RadixSort,500,descending,0.080571
RadixSort,500,random,0.096158
RadixSort,1000,ascending,0.224827
RadixSort,1000,descending,0.213175
RadixSort,1000,random,0.203846
RadixSort,5000,ascending,0.998898
RadixSort,5000,descending,1.000544
RadixSort,5000,random,0.267745
RadixSort,20000,ascending,1.159579
RadixSort,20000,descending,1.141192
RadixSort,20000,random,1.143564
RadixSort,50000,ascending,2.829393
RadixSort,50000,descending,2.31996
RadixSort,50000,random,1.857675
RadixSort,100000,ascending,4.152588
RadixSort,100000,descending,4.160599
RadixSort,100000,random,3.499711
RadixSort,500000,ascending,21.007807
RadixSort,500000,descending,22.63697
RadixSort,500000,random,20.523365
BucketSort,100,ascending,0.776207
BucketSort,100,descending,0.057951
BucketSort,100,random,0.06633
BucketSort,500,ascending,0.147878
BucketSort,500,descending,0.154071
BucketSort,500,random,0.118335
BucketSort,1000,ascending,0.105407
BucketSort,1000,descending,0.172873
BucketSort,1000,random,1.121138
BucketSort,5000,ascending,0.437269
BucketSort,5000,descending,0.462179
BucketSort,5000,random,1.513833
BucketSort,20000,ascending,1.153649
BucketSort,20000,descending,1.243356
BucketSort,20000,random,2.296943
BucketSort,50000,ascending,3.65201
BucketSort,50000,descending,4.055507
BucketSort,50000,random,6.926375
BucketSort,100000,ascending,9.70701
BucketSort,100000,descending,9.450909
BucketSort,100000,random,10.771834
BucketSort,500000,ascending,64.087344
BucketSort,500000,descending,66.41244
BucketSort,500000,random,87.098978
