Algorithm,Size,Order,Time
QuickSort,100,ascending,0.032362
QuickSort,100,descending,0.027862
QuickSort,100,random,0.030852
QuickSort,500,ascending,0.104813
QuickSort,500,descending,0.119829
QuickSort,500,random,0.063414
QuickSort,1000,ascending,0.035448
QuickSort,1000,descending,0.06281
QuickSort,1000,random,0.084383
QuickSort,5000,ascending,0.20313
QuickSort,5000,descending,0.372113
QuickSort,5000,random,0.491383
QuickSort,20000,ascending,0.911733
QuickSort,20000,descending,0.596327
QuickSort,20000,random,1.297344
QuickSort,50000,ascending,0.565483
QuickSort,50000,descending,1.105301
QuickSort,50000,random,3.439082
QuickSort,100000,ascending,1.343787
QuickSort,100000,descending,2.579465
QuickSort,100000,random,8.221037
QuickSort,500000,ascending,6.915972
QuickSort,500000,descending,14.899851
QuickSort,500000,random,44.659841
CountingSort,100,ascending,0.804893
CountingSort,100,descending,0.021567
CountingSort,100,random,0.022061
CountingSort,500,ascending,0.066912
CountingSort,500,descending,0.043827
CountingSort,500,random,0.045432
CountingSort,1000,ascending,0.079731
CountingSort,1000,descending,0.07851
CountingSort,1000,random,0.079167
CountingSort,5000,ascending,0.376723
CountingSort,5000,descending,0.375332
CountingSort,5000,random,0.36141
CountingSort,20000,ascending,1.455077
CountingSort,20000,descending,0.551608
CountingSort,20000,random,0.42573
CountingSort,50000,ascending,0.540201
CountingSort,50000,descending,0.51005
CountingSort,50000,random,0.714636
CountingSort,100000,ascending,1.034466
CountingSort,100000,descending,1.18254
CountingSort,100000,random,0.94023
CountingSort,500000,ascending,3.621147
CountingSort,500000,descending,1.663411
CountingSort,500000,random,4.584717
RadixSort,100,ascending,0.050996
RadixSort,100,descending,0.028096
RadixSort,100,random,0.021821
RadixSort,500,ascending,0.084161
RadixSort,500,descending,0.084198
RadixSort,500,random,0.081283
RadixSort,1000,ascending,0.20583
RadixSort,1000,descending,0.204838
RadixSort,1000,random,0.208882
RadixSort,5000,ascending,0.930534
RadixSort,5000,descending,0.314888
RadixSort,5000,random,0.231005
RadixSort,20000,ascending,1.130106
RadixSort,20000,descending,1.108522
RadixSort,20000,random,1.084642
RadixSort,50000,ascending,2.396152
RadixSort,50000,descending,2.377879
RadixSort,50000,random,1.876257
RadixSort,100000,ascending,4.313824
RadixSort,100000,descending,4.273803
RadixSort,100000,random,4.107565
RadixSort,500000,ascending,21.30526
RadixSort,500000,descending,20.575563
RadixSort,500000,random,21.993215
BucketSort,100,ascending,0.836416
BucketSort,100,descending,0.047951
BucketSort,100,random,0.044996
BucketSort,500,ascending,0.090916
BucketSort,500,descending,0.153946
BucketSort,500,random,0.106688
BucketSort,1000,ascending,0.084198
BucketSort,1000,descending,0.162678
BucketSort,1000,random,0.531217
BucketSort,5000,ascending,0.377037
BucketSort,5000,descending,0.446929
BucketSort,5000,random,1.543794
BucketSort,20000,ascending,1.160736
BucketSort,20000,descending,1.005171
BucketSort,20000,random,2.131292
BucketSort,50000,ascending,2.366787
BucketSort,50000,descending,2.692771
BucketSort,50000,random,7.230111
BucketSort,100000,ascending,9.00423
BucketSort,100000,descending,6.000256
BucketSort,100000,random,14.638882
BucketSort,500000,ascending,64.181437
BucketSort,500000,descending,73.667868
BucketSort,500000,random,91.902824
