Algorithm,Size,Order,Time
InsertionSort,100,ascending,0.003598
InsertionSort,100,descending,0.108711
InsertionSort,100,random,0.063985
InsertionSort,500,ascending,0.012906
InsertionSort,500,descending,0.366185
InsertionSort,500,random,0.278283
InsertionSort,1000,ascending,0.002728
InsertionSort,1000,descending,0.861418
InsertionSort,1000,random,0.271597
InsertionSort,5000,ascending,0.00612
InsertionSort,5000,descending,2.599367
InsertionSort,5000,random,1.377244
InsertionSort,20000,ascending,0.020316
InsertionSort,20000,descending,41.679022
InsertionSort,20000,random,22.728078
InsertionSort,50000,ascending,0.04133
InsertionSort,50000,descending,257.889526
InsertionSort,50000,random,126.79235
SelectionSort,100,ascending,0.048331
SelectionSort,100,descending,0.048091
SelectionSort,100,random,0.060811
SelectionSort,500,ascending,0.248308
SelectionSort,500,descending,0.228096
SelectionSort,500,random,0.129527
SelectionSort,1000,ascending,0.340207
SelectionSort,1000,descending,0.347929
SelectionSort,1000,random,0.394337
SelectionSort,5000,ascending,18.632686
SelectionSort,5000,descending,26.023403
SelectionSort,5000,random,26.113394
SelectionSort,20000,ascending,418.939363
SelectionSort,20000,descending,418.652236
SelectionSort,20000,random,419.009654
SelectionSort,50000,ascending,2638.861424
SelectionSort,50000,descending,2639.889332
SelectionSort,50000,random,2623.192616
BubbleSort,100,ascending,0.002443
BubbleSort,100,descending,0.179985
BubbleSort,100,random,0.142334
BubbleSort,500,ascending,0.009189
BubbleSort,500,descending,0.410602
BubbleSort,500,random,0.384311
BubbleSort,1000,ascending,0.002252
BubbleSort,1000,descending,1.039003
BubbleSort,1000,random,0.737248
BubbleSort,5000,ascending,0.001122
BubbleSort,5000,descending,18.469587
BubbleSort,5000,random,14.578496
BubbleSort,20000,ascending,0.007076
BubbleSort,20000,descending,296.726494
BubbleSort,20000,random,491.504071
BubbleSort,50000,ascending,0.01499
BubbleSort,50000,descending,1843.046596
BubbleSort,50000,random,3428.668313
MergeSort,100,ascending,0.032405
MergeSort,100,descending,0.025769
MergeSort,100,random,0.023717
MergeSort,500,ascending,0.01884
MergeSort,500,descending,0.019042
MergeSort,500,random,0.040499
MergeSort,1000,ascending,0.036784
MergeSort,1000,descending,0.039017
MergeSort,1000,random,0.086661
MergeSort,5000,ascending,0.219413
MergeSort,5000,descending,0.223472
MergeSort,5000,random,1.215346
MergeSort,20000,ascending,2.458293
MergeSort,20000,descending,0.526616
MergeSort,20000,random,1.743065
MergeSort,50000,ascending,1.260868
MergeSort,50000,descending,1.439444
MergeSort,50000,random,4.72751
QuickSort,100,ascending,0.037384
QuickSort,100,descending,0.022907
QuickSort,100,random,0.022741
QuickSort,500,ascending,0.038958
QuickSort,500,descending,0.040981
QuickSort,500,random,0.038205
QuickSort,1000,ascending,0.0318
QuickSort,1000,descending,0.057256
QuickSort,1000,random,0.080539
QuickSort,5000,ascending,0.198705
QuickSort,5000,descending,0.357451
QuickSort,5000,random,0.29572
QuickSort,20000,ascending,0.241913
QuickSort,20000,descending,0.42269
QuickSort,20000,random,1.330415
QuickSort,50000,ascending,0.608837
QuickSort,50000,descending,1.155587
QuickSort,50000,random,3.755162
